"","ID","Date","PolicyType","PolicyValue","PolicyFlag","PolicyNotes","PolicySource"
"1463350","IT",2020-01-10,"I2",0,NA,NA,"OxCGRT"
"1463351","IT",2020-01-10,"I2D",0,NA,NA,"OxCGRT"
"1463352","IT",2020-01-10,"I3",0,NA,NA,"OxCGRT"
"1463353","IT",2020-01-10,"I3D",0,NA,NA,"OxCGRT"
"1463354","IT",2020-01-10,"I4",0,NA,NA,"OxCGRT"
"1463355","IT",2020-01-10,"I4D",0,NA,NA,"OxCGRT"
"1463356","IT",2020-01-10,"I4L",0,NA,NA,"OxCGRT"
"1463357","IT",2020-01-10,"I4LD",0,NA,NA,"OxCGRT"
"1463358","IT",2020-01-10,"IC",NA,NA,NA,"OxCGRT"
"1463359","IT",2020-01-10,"ID",NA,NA,NA,"OxCGRT"
"1463360","IT",2020-01-10,"M1",NA,NA,NA,"OxCGRT"
"1463361","IT",2020-01-11,"C1",0,NA,NA,"OxCGRT"
"1463362","IT",2020-01-11,"C2",0,NA,NA,"OxCGRT"
"1463363","IT",2020-01-11,"C3",0,NA,NA,"OxCGRT"
"1463364","IT",2020-01-11,"C4",0,NA,NA,"OxCGRT"
"1463365","IT",2020-01-11,"C5",0,NA,NA,"OxCGRT"
"1463366","IT",2020-01-11,"C6",0,NA,NA,"OxCGRT"
"1463367","IT",2020-01-11,"C7",0,NA,NA,"OxCGRT"
"1463368","IT",2020-01-11,"C8",0,NA,NA,"OxCGRT"
"1463369","IT",2020-01-11,"E1",0,NA,NA,"OxCGRT"
"1463370","IT",2020-01-11,"E2",0,NA,NA,"OxCGRT"
"1463371","IT",2020-01-11,"E3",0,NA,NA,"OxCGRT"
"1463372","IT",2020-01-11,"E4",0,NA,NA,"OxCGRT"
"1463373","IT",2020-01-11,"H1",0,NA,NA,"OxCGRT"
"1463374","IT",2020-01-11,"H2",0,NA,NA,"OxCGRT"
"1463375","IT",2020-01-11,"H3",0,NA,NA,"OxCGRT"
"1463376","IT",2020-01-11,"H4",0,NA,NA,"OxCGRT"
"1463377","IT",2020-01-11,"H5",0,NA,NA,"OxCGRT"
"1463378","IT",2020-01-11,"H6",0,NA,NA,"OxCGRT"
"1463379","IT",2020-01-11,"H7",0,NA,NA,"OxCGRT"
"1463380","IT",2020-01-11,"I1",0,NA,NA,"OxCGRT"
"1463381","IT",2020-01-11,"I1D",0,NA,NA,"OxCGRT"
"1463382","IT",2020-01-11,"I2",0,NA,NA,"OxCGRT"
"1463383","IT",2020-01-11,"I2D",0,NA,NA,"OxCGRT"
"1463384","IT",2020-01-11,"I3",0,NA,NA,"OxCGRT"
"1463385","IT",2020-01-11,"I3D",0,NA,NA,"OxCGRT"
"1463386","IT",2020-01-11,"I4",0,NA,NA,"OxCGRT"
"1463387","IT",2020-01-11,"I4D",0,NA,NA,"OxCGRT"
"1463388","IT",2020-01-11,"I4L",0,NA,NA,"OxCGRT"
"1463389","IT",2020-01-11,"I4LD",0,NA,NA,"OxCGRT"
"1463390","IT",2020-01-11,"IC",NA,NA,NA,"OxCGRT"
"1463391","IT",2020-01-11,"ID",NA,NA,NA,"OxCGRT"
"1463392","IT",2020-01-11,"M1",NA,NA,NA,"OxCGRT"
"1463393","IT",2020-01-12,"C1",0,NA,NA,"OxCGRT"
"1463394","IT",2020-01-12,"C2",0,NA,NA,"OxCGRT"
"1463395","IT",2020-01-12,"C3",0,NA,NA,"OxCGRT"
"1463396","IT",2020-01-12,"C4",0,NA,NA,"OxCGRT"
"1463397","IT",2020-01-12,"C5",0,NA,NA,"OxCGRT"
"1463398","IT",2020-01-12,"C6",0,NA,NA,"OxCGRT"
"1463399","IT",2020-01-12,"C7",0,NA,NA,"OxCGRT"
"1463400","IT",2020-01-12,"C8",0,NA,NA,"OxCGRT"
"1463401","IT",2020-01-12,"E1",0,NA,NA,"OxCGRT"
"1463402","IT",2020-01-12,"E2",0,NA,NA,"OxCGRT"
"1463403","IT",2020-01-12,"E3",0,NA,NA,"OxCGRT"
"1463404","IT",2020-01-12,"E4",0,NA,NA,"OxCGRT"
"1463405","IT",2020-01-12,"H1",0,NA,NA,"OxCGRT"
"1463406","IT",2020-01-12,"H2",0,NA,NA,"OxCGRT"
"1463407","IT",2020-01-12,"H3",0,NA,NA,"OxCGRT"
"1463408","IT",2020-01-12,"H4",0,NA,NA,"OxCGRT"
"1463409","IT",2020-01-12,"H5",0,NA,NA,"OxCGRT"
"1463410","IT",2020-01-12,"H6",0,NA,NA,"OxCGRT"
"1463411","IT",2020-01-12,"H7",0,NA,NA,"OxCGRT"
"1463412","IT",2020-01-12,"I1",0,NA,NA,"OxCGRT"
"1463413","IT",2020-01-12,"I1D",0,NA,NA,"OxCGRT"
"1463414","IT",2020-01-12,"I2",0,NA,NA,"OxCGRT"
"1463415","IT",2020-01-12,"I2D",0,NA,NA,"OxCGRT"
"1463416","IT",2020-01-12,"I3",0,NA,NA,"OxCGRT"
